sum_gamerounds,retention_1,retention_7,version
216,True,True,gate_30
17,True,False,gate_40
290,True,True,gate_30
3,False,False,gate_40
24,True,False,gate_40
5,False,False,gate_40
18,False,False,gate_30
5,False,False,gate_30
20,False,False,gate_30
9,True,False,gate_40
15,True,False,gate_40
4,False,False,gate_40
87,True,True,gate_40
86,True,False,gate_40
0,False,False,gate_40
4,False,False,gate_40
356,False,False,gate_30
10,True,False,gate_30
3,False,True,gate_40
0,False,False,gate_30
0,False,False,gate_40
3,False,False,gate_30
34,True,True,gate_30
34,False,False,gate_30
0,False,False,gate_30
117,True,True,gate_30
23,False,True,gate_30
34,True,False,gate_30
8,False,False,gate_40
20,True,False,gate_40
54,True,True,gate_40
4,False,False,gate_30
76,False,True,gate_40
55,True,False,gate_40
3,False,False,gate_40
2,False,False,gate_40
22,True,False,gate_30
15,True,True,gate_30
3,False,False,gate_40
4,False,False,gate_40
298,True,True,gate_40
338,True,True,gate_30
1,False,False,gate_40
12,False,False,gate_40
7,False,False,gate_40
5,False,False,gate_40
16,False,False,gate_30
9,True,False,gate_30
4,False,False,gate_40
115,True,True,gate_40
170,True,True,gate_30
174,True,True,gate_30
21,False,False,gate_30
4,False,False,gate_40
6,False,False,gate_40
6,False,False,gate_30
22,False,False,gate_30
12,False,False,gate_40
2,False,False,gate_40
2,False,False,gate_40
70,True,False,gate_30
0,False,False,gate_30
3,False,False,gate_30
25,False,False,gate_30
141,True,True,gate_40
47,True,True,gate_40
1,False,False,gate_30
32,False,False,gate_30
3,False,False,gate_40
10,False,False,gate_40
2,False,False,gate_30
2,True,False,gate_40
15,False,False,gate_30
543,True,True,gate_40
10,False,False,gate_30
54,True,False,gate_40
202,True,True,gate_30
2,False,False,gate_40
41,False,False,gate_40
15,False,False,gate_30
54,False,False,gate_30
5,True,False,gate_40
22,True,False,gate_40
399,True,True,gate_40
13,True,False,gate_30
29,True,False,gate_40
38,True,True,gate_30
0,False,False,gate_40
19,True,False,gate_40
23,False,False,gate_30
237,True,True,gate_30
25,True,False,gate_40
85,True,False,gate_40
0,False,False,gate_30
11,False,False,gate_30
1,False,False,gate_40
7,True,False,gate_30
33,True,True,gate_30
18,False,False,gate_30
14,False,False,gate_40
18,False,False,gate_40
11,True,False,gate_40
26,True,False,gate_40
6,False,False,gate_30
65,True,False,gate_40
16,True,False,gate_40
17,False,False,gate_40
139,False,True,gate_30
0,False,False,gate_30
24,True,False,gate_30
23,False,False,gate_30
7,False,False,gate_30
29,False,False,gate_40
4,False,False,gate_30
3,False,False,gate_30
19,False,False,gate_30
2,False,False,gate_30
12,False,False,gate_30
1,False,False,gate_40
0,False,False,gate_30
6,False,False,gate_30
5,False,False,gate_40
67,True,False,gate_40
36,True,True,gate_40
2,False,False,gate_40
1,False,False,gate_30
33,True,False,gate_40
9,True,False,gate_30
179,True,True,gate_30
1,False,False,gate_30
202,True,True,gate_30
9,True,False,gate_30
43,False,False,gate_40
902,True,True,gate_30
6,False,False,gate_30
22,False,False,gate_40
1,False,False,gate_30
9,True,True,gate_30
4,True,False,gate_30
1,False,False,gate_30
15,False,True,gate_40
1,False,False,gate_30
125,True,False,gate_40
24,False,False,gate_40
1,False,True,gate_40
269,True,False,gate_30
31,True,False,gate_40
510,True,False,gate_30
62,False,False,gate_40
